produce,day,remaining_quality,weight_loss_percent,spoilage_probability
Tomato,0,100.0,0.0,1.0
Tomato,1,99.61,0.85,1.22
Tomato,2,99.7,1.72,1.32
Tomato,3,99.45,2.6,1.61
Tomato,4,99.33,3.47,1.54
Tomato,5,98.85,4.35,1.51
Tomato,6,98.91,5.23,1.69
Tomato,7,98.68,6.15,1.69
Tomato,8,98.48,7.01,2.19
Tomato,9,98.13,7.91,2.32
Tomato,10,97.85,8.78,2.47
Tomato,11,97.24,9.71,2.87
Tomato,12,96.64,10.59,3.21
Tomato,13,96.74,11.5,3.57
Tomato,14,96.72,12.43,3.86
Tomato,15,96.46,13.37,4.19
Tomato,16,96.46,14.27,4.31
Tomato,17,96.47,15.19,4.69
Tomato,18,96.47,16.12,5.18
Tomato,19,96.24,16.98,5.74
Tomato,20,95.64,17.93,6.44
Tomato,21,95.55,18.79,6.82
Tomato,22,95.58,19.68,7.56
Tomato,23,95.32,20.62,7.87
Tomato,24,95.28,21.56,8.08
Tomato,25,94.82,22.45,8.45
Tomato,26,94.25,23.34,9.17
Tomato,27,94.09,24.26,9.69
Tomato,28,93.62,25.15,10.0
Tomato,29,93.28,26.07,10.79
Tomato,30,93.2,26.98,11.1
Potato,0,100.0,0.0,1.0
Potato,1,99.77,0.4,0.97
Potato,2,99.63,0.79,1.03
Potato,3,99.65,1.15,0.97
Potato,4,99.29,1.56,1.17
Potato,5,98.85,2.0,1.15
Potato,6,98.56,2.42,1.49
Potato,7,98.79,2.77,1.78
Potato,8,98.55,3.15,1.87
Potato,9,98.62,3.51,2.19
Potato,10,98.24,3.96,2.27
Potato,11,98.41,4.33,2.33
Potato,12,98.43,4.7,2.27
Potato,13,98.59,5.13,2.55
Potato,14,98.78,5.56,2.69
Potato,15,98.4,5.94,2.82
Potato,16,98.0,6.38,3.19
Potato,17,97.52,6.74,3.53
Potato,18,97.67,7.12,3.65
Potato,19,97.89,7.54,3.67
Potato,20,98.03,7.94,3.9
Potato,21,97.6,8.29,3.99
Potato,22,97.55,8.66,4.38
Potato,23,97.49,9.05,4.34
Potato,24,97.68,9.47,4.63
Potato,25,97.37,9.86,4.61
Potato,26,97.29,10.31,5.01
Potato,27,97.27,10.72,5.06
Potato,28,97.05,11.08,5.42
Potato,29,97.12,11.43,5.87
Potato,30,97.08,11.84,5.78
Onion,0,100.0,0.0,1.0
Onion,1,99.75,0.38,0.94
Onion,2,100.06,0.74,0.95
Onion,3,99.9,1.08,0.86
Onion,4,99.81,1.45,1.12
Onion,5,99.66,1.76,1.2
Onion,6,99.72,2.14,1.2
Onion,7,99.76,2.5,1.16
Onion,8,99.37,2.81,1.53
Onion,9,99.41,3.2,1.47
Onion,10,99.49,3.58,1.44
Onion,11,99.13,3.96,1.78
Onion,12,99.29,4.34,1.93
Onion,13,99.33,4.71,2.17
Onion,14,99.36,5.11,2.13
Onion,15,99.2,5.45,1.96
Onion,16,99.27,5.81,1.89
Onion,17,99.35,6.13,2.03
Onion,18,99.48,6.52,2.25
Onion,19,99.38,6.9,2.58
Onion,20,99.57,7.22,2.47
Onion,21,99.16,7.55,2.79
Onion,22,99.26,7.86,3.04
Onion,23,99.01,8.17,3.09
Onion,24,99.09,8.5,3.41
Onion,25,98.83,8.83,3.44
Onion,26,98.99,9.18,3.81
Onion,27,98.93,9.57,3.71
Onion,28,99.11,9.92,4.1
Onion,29,98.88,10.25,3.99
Onion,30,99.03,10.57,3.98
Carrot,0,100.0,0.0,1.0
Carrot,1,99.84,0.51,1.33
Carrot,2,99.71,0.99,1.55
Carrot,3,99.84,1.49,1.73
Carrot,4,99.48,2.0,1.54
Carrot,5,99.19,2.53,1.45
Carrot,6,99.3,3.03,1.73
Carrot,7,98.85,3.54,1.93
Carrot,8,98.66,4.08,1.99
Carrot,9,98.17,4.55,2.06
Carrot,10,97.65,5.04,2.4
Carrot,11,97.27,5.55,2.63
Carrot,12,96.94,6.07,2.69
Carrot,13,96.5,6.56,2.91
Carrot,14,96.09,7.09,2.95
Carrot,15,95.78,7.62,3.19
Carrot,16,95.5,8.16,3.67
Carrot,17,95.22,8.7,3.77
Carrot,18,94.81,9.24,4.22
Carrot,19,94.57,9.71,4.56
Carrot,20,94.1,10.24,4.82
Carrot,21,93.67,10.72,5.12
Carrot,22,93.12,11.26,5.2
Carrot,23,92.97,11.72,5.72
Carrot,24,92.91,12.23,5.67
Carrot,25,92.88,12.72,5.84
Carrot,26,92.72,13.22,5.87
Carrot,27,92.68,13.73,6.01
Carrot,28,92.61,14.25,6.13
Carrot,29,92.49,14.71,6.59
Carrot,30,91.96,15.24,6.63
Cabbage,0,100.0,0.0,1.0
Cabbage,1,99.59,0.51,0.92
Cabbage,2,99.24,1.04,1.03
Cabbage,3,98.9,1.61,1.02
Cabbage,4,98.41,2.16,0.97
Cabbage,5,98.64,2.69,0.79
Cabbage,6,98.65,3.28,1.13
Cabbage,7,98.66,3.8,1.02
Cabbage,8,98.53,4.37,0.93
Cabbage,9,98.2,4.89,1.38
Cabbage,10,97.89,5.44,1.3
Cabbage,11,97.48,5.94,1.35
Cabbage,12,97.57,6.47,1.66
Cabbage,13,97.09,7.05,1.58
Cabbage,14,97.2,7.61,1.57
Cabbage,15,96.92,8.16,1.84
Cabbage,16,97.05,8.67,2.23
Cabbage,17,96.62,9.21,2.72
Cabbage,18,96.26,9.75,3.15
Cabbage,19,96.31,10.31,3.56
Cabbage,20,95.81,10.88,3.53
Cabbage,21,95.96,11.4,3.72
Cabbage,22,95.84,11.98,4.07
Cabbage,23,95.37,12.52,4.25
Cabbage,24,94.79,13.08,4.71
Cabbage,25,94.95,13.6,5.23
Cabbage,26,94.42,14.14,5.24
Cabbage,27,94.0,14.67,5.65
Cabbage,28,93.91,15.25,5.98
Cabbage,29,93.73,15.84,6.38
Cabbage,30,93.36,16.4,6.81
Banana,0,100.0,0.0,1.0
Banana,1,99.46,1.12,1.07
Banana,2,99.1,2.23,1.23
Banana,3,99.13,3.34,1.77
Banana,4,98.52,4.45,1.83
Banana,5,98.54,5.59,2.33
Banana,6,97.93,6.69,2.47
Banana,7,98.02,7.74,2.61
Banana,8,97.84,8.83,2.78
Banana,9,97.5,9.96,3.1
Banana,10,97.47,11.06,3.23
Banana,11,97.14,12.17,3.37
Banana,12,96.74,13.28,3.46
Banana,13,96.06,14.39,3.94
Banana,14,95.55,15.49,4.19
Banana,15,95.32,16.64,4.54
Banana,16,94.59,17.71,4.97
Banana,17,94.25,18.82,5.43
Banana,18,93.97,19.94,5.68
Banana,19,93.77,21.01,6.09
Banana,20,93.61,22.16,6.49
Banana,21,93.2,23.28,6.75
Banana,22,92.49,24.34,7.43
Banana,23,92.22,25.41,8.07
Banana,24,91.51,26.55,8.59
Banana,25,91.0,27.68,9.32
Banana,26,90.2,28.77,10.19
Banana,27,89.98,29.88,10.99
Banana,28,89.44,30.99,11.91
Banana,29,88.63,32.09,12.59
Banana,30,87.74,33.24,13.47
Apple,0,100.0,0.0,1.0
Apple,1,99.91,0.45,1.33
Apple,2,99.57,0.91,1.55
Apple,3,99.19,1.35,1.69
Apple,4,99.41,1.8,1.72
Apple,5,99.71,2.29,1.97
Apple,6,99.43,2.79,2.36
Apple,7,99.3,3.2,2.42
Apple,8,99.36,3.67,2.41
Apple,9,99.41,4.16,2.66
Apple,10,99.65,4.62,2.6
Apple,11,99.64,5.05,2.64
Apple,12,99.66,5.55,2.87
Apple,13,99.91,6.0,3.13
Apple,14,99.65,6.41,3.19
Apple,15,99.51,6.87,3.44
Apple,16,99.31,7.34,3.81
Apple,17,99.01,7.83,4.16
Apple,18,98.89,8.23,4.12
Apple,19,98.88,8.65,4.44
Apple,20,98.47,9.08,4.48
Apple,21,98.59,9.55,4.54
Apple,22,98.64,9.95,4.92
Apple,23,98.17,10.44,5.26
Apple,24,98.3,10.91,5.51
Apple,25,97.93,11.39,5.89
Apple,26,97.6,11.86,6.37
Apple,27,97.34,12.35,6.87
Apple,28,97.01,12.81,6.81
Apple,29,96.64,13.27,7.21
Apple,30,96.76,13.75,7.69
Mango,0,100.0,0.0,1.0
Mango,1,99.97,0.96,1.34
Mango,2,99.81,1.93,1.71
Mango,3,99.98,2.85,1.73
Mango,4,99.91,3.77,1.77
Mango,5,99.69,4.71,1.97
Mango,6,99.51,5.62,2.28
Mango,7,99.07,6.56,2.68
Mango,8,98.54,7.47,2.86
Mango,9,97.92,8.47,3.23
Mango,10,97.78,9.41,3.59
Mango,11,97.39,10.39,3.81
Mango,12,96.87,11.31,3.89
Mango,13,96.58,12.25,4.27
Mango,14,95.95,13.18,4.47
Mango,15,95.5,14.11,4.69
Mango,16,95.38,15.06,5.38
Mango,17,95.3,16.06,5.5
Mango,18,95.1,17.01,6.17
Mango,19,94.84,17.97,6.89
Mango,20,94.62,18.9,7.59
Mango,21,94.61,19.84,8.09
Mango,22,94.06,20.83,8.76
Mango,23,93.57,21.81,9.23
Mango,24,92.81,22.8,9.55
Mango,25,92.42,23.8,9.88
Mango,26,92.37,24.75,10.12
Mango,27,91.6,25.72,10.84
Mango,28,91.46,26.66,11.17
Mango,29,91.04,27.63,12.04
Mango,30,90.81,28.59,12.89
Grapes,0,100.0,0.0,1.0
Grapes,1,99.99,0.97,1.18
Grapes,2,99.64,1.92,1.13
Grapes,3,99.64,2.93,1.41
Grapes,4,99.19,3.91,1.6
Grapes,5,99.05,4.9,1.57
Grapes,6,98.93,5.9,1.94
Grapes,7,98.75,6.93,2.29
Grapes,8,98.64,7.89,2.86
Grapes,9,98.04,8.91,3.06
Grapes,10,97.41,9.94,3.37
Grapes,11,97.02,10.96,3.71
Grapes,12,96.73,11.92,4.02
Grapes,13,96.64,12.92,4.68
Grapes,14,96.02,13.94,5.33
Grapes,15,95.91,14.97,5.67
Grapes,16,95.91,15.97,6.14
Grapes,17,95.24,16.92,6.65
Grapes,18,94.9,17.97,6.99
Grapes,19,94.71,19.01,7.38
Grapes,20,94.24,20.02,7.88
Grapes,21,93.57,20.99,8.59
Grapes,22,92.9,21.96,9.29
Grapes,23,92.76,23.0,10.09
Grapes,24,92.72,23.99,10.68
Grapes,25,92.11,24.95,11.01
Grapes,26,91.83,25.95,11.49
Grapes,27,91.07,26.96,11.85
Grapes,28,90.69,28.0,12.36
Grapes,29,90.17,29.02,12.87
Grapes,30,89.74,30.02,13.44
Chilli,0,100.0,0.0,1.0
Chilli,1,99.73,0.59,0.82
Chilli,2,99.39,1.16,1.09
Chilli,3,99.2,1.8,1.01
Chilli,4,99.25,2.44,1.13
Chilli,5,98.98,3.02,1.32
Chilli,6,98.57,3.63,1.69
Chilli,7,98.69,4.19,1.88
Chilli,8,98.33,4.83,1.81
Chilli,9,97.82,5.38,2.0
Chilli,10,97.27,5.99,2.14
Chilli,11,97.15,6.63,2.38
Chilli,12,96.99,7.28,2.58
Chilli,13,97.02,7.87,2.64
Chilli,14,97.03,8.49,2.74
Chilli,15,96.79,9.09,2.92
Chilli,16,96.58,9.71,3.38
Chilli,17,96.6,10.32,3.44
Chilli,18,96.38,10.91,3.52
Chilli,19,96.51,11.53,4.08
Chilli,20,96.46,12.13,4.28
Chilli,21,95.99,12.73,4.31
Chilli,22,95.63,13.28,4.44
Chilli,23,95.7,13.87,4.73
Chilli,24,95.4,14.42,5.34
Chilli,25,94.99,15.04,5.68
Chilli,26,94.98,15.68,5.88
Chilli,27,94.73,16.24,6.32
Chilli,28,94.33,16.86,6.88
Chilli,29,94.05,17.45,7.49
Chilli,30,93.77,18.03,8.08
