storage_id,storage_name,location,temperature,humidity,co2,ethylene,power_status,cooling_status,capacity,occupied,last_updated
STR0001,Ventilated Store 1,Theni,29.1,58.9,1.6,0.913,ON,Running,500,354,2026-03-01 17:47:00
STR0002,Cold Room A,Coimbatore,2.2,92.9,5.14,0.116,ON,Running,2000,691,2026-07-11 09:56:00
STR0003,Cold Room A,Madurai,1.0,89.8,5.11,1.072,ON,Running,5000,3119,2026-05-07 04:54:00
STR0004,Cold Room D,Theni,0.7,92.5,1.84,2.34,ON,Running,5000,1726,2026-07-08 10:50:00
STR0005,Ripening Chamber 2,Vellore,19.4,86.9,3.37,2.044,ON,Running,2000,1204,2026-01-23 12:42:00
STR0006,Cold Room B,Coimbatore,7.8,88.2,5.15,0.022,ON,Running,2000,1576,2026-03-26 09:37:00
STR0007,Blast Freezer 1,Madurai,0.6,86.7,1.32,2.137,ON,Running,1000,516,2026-05-09 22:49:00
STR0008,Ripening Chamber 2,Dindigul,19.1,94.4,2.04,0.707,OFF,Stopped,2000,639,2026-07-11 19:23:00
STR0009,Ambient Shed 2,Thanjavur,32.8,58.9,4.42,2.642,ON,Idle,5000,3943,2026-01-21 16:28:00
STR0010,Cold Room D,Trichy,-1.2,89.3,0.37,1.752,ON,Running,3000,1856,2026-02-12 10:54:00
STR0011,Cold Room D,Theni,-0.8,84.7,3.22,0.291,ON,Running,500,277,2026-05-12 13:29:00
STR0012,Blast Freezer 1,Madurai,3.6,90.7,1.72,0.07,ON,Running,500,391,2026-05-29 02:02:00
STR0013,Ambient Shed 2,Trichy,29.8,53.5,0.36,2.861,OFF,Stopped,2000,450,2026-04-15 05:49:00
STR0014,Cold Room C,Erode,1.7,93.6,2.48,2.935,ON,Running,500,366,2026-06-19 17:08:00
STR0015,Ambient Shed 1,Dindigul,22.5,53.4,2.92,2.329,ON,Idle,500,395,2026-03-18 14:43:00
STR0016,Cold Room D,Erode,3.3,92.7,1.38,1.108,ON,Running,5000,3985,2026-01-09 21:26:00
STR0017,Blast Freezer 1,Madurai,0.4,82.9,3.28,1.429,ON,Running,500,195,2026-01-12 12:28:00
STR0018,Ripening Chamber 1,Thanjavur,15.7,93.6,0.34,1.612,ON,Running,5000,3247,2026-05-28 19:49:00
STR0019,Ambient Shed 1,Salem,24.2,43.6,3.64,0.707,ON,Idle,500,317,2026-06-01 23:58:00
STR0020,Cold Room C,Erode,3.6,82.6,1.91,2.059,ON,Running,3000,1346,2026-04-17 13:09:00
STR0021,Ripening Chamber 2,Erode,15.5,90.4,1.35,0.721,ON,Running,1000,829,2026-01-15 17:26:00
STR0022,Ambient Shed 2,Thanjavur,27.4,49.7,1.42,1.057,ON,Idle,2000,1722,2026-01-24 17:46:00
STR0023,Ripening Chamber 1,Madurai,16.1,91.7,3.33,2.796,ON,Running,3000,2295,2026-05-24 06:30:00
STR0024,Ripening Chamber 1,Trichy,16.4,94.1,1.19,0.608,ON,Running,5000,4898,2026-05-03 07:44:00
STR0025,Blast Freezer 1,Salem,2.0,85.1,1.79,0.906,ON,Running,5000,2401,2026-03-08 11:32:00
STR0026,Ventilated Store 1,Theni,21.4,64.5,2.6,2.687,ON,Running,1500,666,2026-01-12 18:55:00
STR0027,Ripening Chamber 1,Coimbatore,14.1,90.5,3.22,2.304,ON,Running,1000,457,2026-04-08 18:53:00
STR0028,Ripening Chamber 1,Theni,18.4,94.4,1.88,2.443,ON,Running,5000,3503,2026-05-06 14:10:00
STR0029,Ambient Shed 1,Coimbatore,22.0,53.7,1.04,2.846,OFF,Stopped,500,304,2026-01-20 21:03:00
STR0030,Cold Room A,Erode,-0.6,90.2,0.4,0.483,ON,Running,2000,982,2026-06-08 20:42:00
STR0031,Blast Freezer 1,Theni,4.6,82.2,2.94,1.316,ON,Running,5000,2071,2026-03-15 00:32:00
STR0032,Ambient Shed 2,Coimbatore,21.5,42.4,0.84,0.614,ON,Idle,1500,613,2026-04-12 02:23:00
STR0033,Ambient Shed 2,Theni,27.9,64.8,1.27,2.189,ON,Idle,5000,4868,2026-06-16 01:05:00
STR0034,Ambient Shed 2,Erode,25.3,51.9,3.51,2.249,ON,Idle,2000,1406,2026-03-26 18:54:00
STR0035,Cold Room B,Thanjavur,7.2,85.0,4.96,2.215,ON,Running,1500,354,2026-01-20 21:59:00
STR0036,Ripening Chamber 2,Thanjavur,18.5,85.3,5.11,1.006,OFF,Stopped,3000,937,2026-07-02 12:59:00
STR0037,Cold Room B,Chennai,-0.4,85.1,4.6,1.245,ON,Running,1500,749,2026-07-09 04:50:00
